,Rank,Date,Team,Acquired,Relinquished,Notes
17198,17198,2012-01-13,DEN,Julyan Stone,,activated from IL
17199,17199,2012-01-14,NYK,,Carmelo Anthony,placed on IL with sprained ankle / sprained left wrist (CBC)
17200,17200,2012-01-14,NYK,Jared Jeffries,,activated from IL
17201,17201,2012-01-14,DAL,Jason Kidd,,activated from IL
17202,17202,2012-01-14,DAL,,Dominique Jones,placed on IL
17203,17203,2012-01-16,POR,,Marcus Camby,placed on IL with sprained left ankle
17204,17204,2012-01-16,POR,Armon Johnson,,activated from IL
17205,17205,2012-01-16,MIL,,Luc Mbah a Moute,placed on IL with right knee tendinitis
17206,17206,2012-01-16,MIL,Beno Udrih,,activated from IL
17207,17207,2012-01-16,CHI,,Richard Hamilton,placed on IL with sore left groin
17208,17208,2012-01-16,CHI,C.J. Watson,,activated from IL
17209,17209,2012-01-16,BOS,,Chris Wilcox,placed on IL with left calf injury
17210,17210,2012-01-16,BOS,Sasha Danilović,,activated from IL
17211,17211,2012-01-16,LAC,,Brian Cook,placed on IL with sprained left ankle
17212,17212,2012-01-16,NYK,,Jeremy Lin,placed on IL
17213,17213,2012-01-16,NYK,Carmelo Anthony,,activated from IL
17214,17214,2012-01-16,ORL,,Jason Richardson,placed on IL with left knee injury
17215,17215,2012-01-16,ORL,Quentin Richardson,,activated from IL
17216,17216,2012-01-16,OKC,Ryan Reid,,activated from IL
17217,17217,2012-01-17,CHI,,Derrick Rose,placed on IL with sprained left big toe / turf toe
17218,17218,2012-01-17,CHI,Richard Hamilton,,activated from IL
17219,17219,2012-01-17,CLE,,Anthony Parker,placed on IL with back injury
17220,17220,2012-01-17,CLE,Mychel Thompson,,activated from IL
17221,17221,2012-01-17,MIA,,Dexter Pittman,placed on IL flu
17222,17222,2012-01-17,MIA,Mike Miller,,activated from IL
17223,17223,2012-01-17,DEN,,Rudy Fernández,placed on IL with Achilles tendon injury
17224,17224,2012-01-17,DEN,Jordan Hamilton,,activated from IL
17225,17225,2012-01-17,HOU,,Hasheem Thabeet,placed on IL
17226,17226,2012-01-17,HOU,Courtney Lee,,activated from IL
17227,17227,2012-01-18,NOH,,Eric Gordon,placed on IL with bruised right knee
17228,17228,2012-01-18,NOH,Trevor Ariza,,activated from IL
17229,17229,2012-01-18,ORL,,Hedo Türkoğlu,placed on IL with back spasms
17230,17230,2012-01-18,ORL,Daniel Orton,,activated from IL
17231,17231,2012-01-18,TOR,,Jerryd Bayless,placed on IL with sprained left ankle
17232,17232,2012-01-18,TOR,Aaron Gray,,activated from IL
17233,17233,2012-01-19,MIA,,Dwyane Wade,placed on IL with sprained right ankle
17234,17234,2012-01-19,MIA,,Mickell Gladness,placed on IL
17235,17235,2012-01-19,MIA,Dexter Pittman,,activated from IL
17236,17236,2012-01-19,MIA,Eddy Curry,,activated from IL
17237,17237,2012-01-19,HOU,,Jordan Hill,placed on IL with flu
17238,17238,2012-01-19,HOU,Hasheem Thabeet,,activated from IL
17239,17239,2012-01-20,POR,,Armon Johnson,placed on IL
17240,17240,2012-01-20,POR,Marcus Camby,,activated from IL
17241,17241,2012-01-20,MIL,,Darington Hobson,placed on IL
17242,17242,2012-01-20,MIL,Luc Mbah a Moute,,activated from IL
17243,17243,2012-01-20,MIL,Mike Dunleavy,,activated from IL
17244,17244,2012-01-20,CLE,,Mychel Thompson,placed on IL
17245,17245,2012-01-20,CLE,Anthony Parker,,activated from IL
17246,17246,2012-01-20,LAC,,Caron Butler,placed on IL with hyperextended right knee
17247,17247,2012-01-20,LAC,,Chris Wright,placed on IL
17248,17248,2012-01-20,LAC,Brian Cook,,activated from IL
17249,17249,2012-01-20,ORL,,DeAndre Liggins,placed on IL
17250,17250,2012-01-20,ORL,Jason Richardson,,activated from IL
17251,17251,2012-01-20,DEN,,Jordan Hamilton,placed on IL
17252,17252,2012-01-20,DEN,Rudy Fernández,,activated from IL
17253,17253,2012-01-20,DET,,Charlie Villanueva,placed on IL with sore right ankle
17254,17254,2012-01-20,GSW,Stephen Curry,,activated from IL
17255,17255,2012-01-20,MIL,,Stephen Jackson,placed on IL for suspension
17256,17256,2012-01-21,CHA,Eduardo Nájera,,activated from IL
17257,17257,2012-01-21,MIA,,Dexter Pittman,placed on IL with flu
17258,17258,2012-01-21,MIA,Mickell Gladness,,activated from IL
17259,17259,2012-01-21,DEN,,Arron Afflalo,placed on IL with strained right groin
17260,17260,2012-01-21,DEN,Jordan Hamilton,,activated from IL
17261,17261,2012-01-21,HOU,,Hasheem Thabeet,placed on IL
17262,17262,2012-01-21,HOU,Jordan Hill,,activated from IL
17263,17263,2012-01-22,MIL,,Jon Brockman,placed on IL
17264,17264,2012-01-22,MIL,Stephen Jackson,,activated from IL
17265,17265,2012-01-22,LAC,,Chris Paul,placed on IL with strained left hamstring
17266,17266,2012-01-22,LAC,Caron Butler,,activated from IL
17267,17267,2012-01-22,MIA,,Mickell Gladness,placed on IL
17268,17268,2012-01-22,MIA,Dexter Pittman,,activated from IL
17269,17269,2012-01-22,TOR,,Andrea Bargnani,placed on IL with strained left calf
17270,17270,2012-01-22,TOR,Jerryd Bayless,,activated from IL
17271,17271,2012-01-23,CHI,,Taj Gibson,placed on IL with sprained left ankle
17272,17272,2012-01-23,CHI,Derrick Rose,,activated from IL
17273,17273,2012-01-23,ORL,,Daniel Orton,placed on IL
17274,17274,2012-01-23,ORL,Hedo Türkoğlu,,activated from IL
17275,17275,2012-01-23,DAL,,Vince Carter,placed on IL with sprained left foot
17276,17276,2012-01-23,DAL,Dominique Jones,,activated from IL
17277,17277,2012-01-24,CLE,,Tristan Thompson,placed on IL with sprained left ankle
17278,17278,2012-01-24,CLE,Christian Eyenga,,activated from IL
17279,17279,2012-01-24,NYK,,Josh Harrellson,placed on IL with wrist injury
17280,17280,2012-01-24,NYK,Jeremy Lin,,activated from IL
17281,17281,2012-01-24,TOR,,Jamaal Magloire,placed on IL
17282,17282,2012-01-24,TOR,Andrea Bargnani,,activated from IL
17283,17283,2012-01-25,LAC,,Travis Leslie,placed on IL
17284,17284,2012-01-25,LAC,Chris Paul,,activated from IL
17285,17285,2012-01-25,ATL,,Donald Sloan,placed on IL
17286,17286,2012-01-25,ATL,Kirk Hinrich,,activated from IL
17287,17287,2012-01-25,NOH,,Chris Kaman,placed on IL
17288,17288,2012-01-25,NOH,Xavier Henry,,activated from IL
17289,17289,2012-01-25,TOR,,Anthony Carter,placed on IL
17290,17290,2012-01-25,TOR,Jamaal Magloire,,activated from IL
17291,17291,2012-01-25,SAC,Hassan Whiteside,,activated from IL
17292,17292,2012-01-25,LAL,Derrick Caracter,,activated from IL
17293,17293,2012-01-25,DEN,Arron Afflalo,,activated from IL
17294,17294,2012-01-26,BOS,,Rajon Rondo,placed on IL with sprained right wrist
17295,17295,2012-01-26,BOS,Chris Wilcox,,activated from IL
17296,17296,2012-01-26,BOS,Keyon Dooling,,activated from IL
17297,17297,2012-01-26,ORL,,Justin Harper,placed on IL
17298,17298,2012-01-26,ORL,Daniel Orton,,activated from IL
17299,17299,2012-01-26,LAC,Eric Bledsoe,,activated from IL
17300,17300,2012-01-27,PHI,,Nikola Vučević,placed on IL
17301,17301,2012-01-27,MIL,,Andrew Bogut,placed on IL with fractured left ankle
17302,17302,2012-01-27,MIL,Jon Brockman,,activated from IL
17303,17303,2012-01-27,CHI,,Luol Deng,placed on IL with torn ligament in left wrist
17304,17304,2012-01-27,CHI,Taj Gibson,,activated from IL
17305,17305,2012-01-27,CLE,,Luke Harangody,placed on IL
17306,17306,2012-01-27,CLE,Tristan Thompson,,activated from IL
17307,17307,2012-01-27,MIA,,Terrel Harris,placed on IL
17308,17308,2012-01-27,MIA,Dwyane Wade,,activated from IL
17309,17309,2012-01-27,NYK,,Carmelo Anthony,placed on IL with sprained right ankle / wrist injury (CBC)
17310,17310,2012-01-27,NYK,Josh Harrellson,,activated from IL
17311,17311,2012-01-27,ORL,,Ryan Anderson,placed on IL with sore left calf
17312,17312,2012-01-27,ORL,Justin Harper,,activated from IL
17313,17313,2012-01-27,DAL,,Dirk Nowitzki,placed on IL with sore right knee
17314,17314,2012-01-27,DAL,Vince Carter,,activated from IL
17315,17315,2012-01-27,DEN,,Ty Lawson,placed on IL with sprained left ankle
17316,17316,2012-01-27,TOR,,Andrea Bargnani,placed on IL with strained left calf
17317,17317,2012-01-27,TOR,Solomon Alabi,,activated from IL
17318,17318,2012-01-27,HOU,,Kevin Martin,placed on IL with plantar fasciitis in right foot
17319,17319,2012-01-27,HOU,Hasheem Thabeet,,activated from IL
17320,17320,2012-01-27,MIN,,J.J. Barea,placed on IL with sprained left ankle
17321,17321,2012-01-27,MIN,,Malcolm Lee,placed on IL with recovering from surgery on left knee to repair torn meniscus
17322,17322,2012-01-27,MIN,Brad Miller,,activated from IL
17323,17323,2012-01-27,MIN,Martell Webster,,activated from IL
17324,17324,2012-01-28,CHA,,Corey Maggette,placed on IL (date approximate)
17325,17325,2012-01-28,SAC,,Hassan Whiteside,placed on IL
17326,17326,2012-01-28,NYK,,Josh Harrellson,placed on IL with wrist injury
17327,17327,2012-01-28,LAL,,Derrick Caracter,placed on IL
17328,17328,2012-01-29,CLE,,Daniel Gibson,placed on IL with sore neck
17329,17329,2012-01-29,CLE,Mychel Thompson,,activated from IL
17330,17330,2012-01-29,BOS,,Keyon Dooling,placed on IL with right hip pointer
17331,17331,2012-01-29,ORL,,Jameer Nelson,placed on IL with concussion
17332,17332,2012-01-29,ORL,Ryan Anderson,,activated from IL
17333,17333,2012-01-29,DAL,,Jason Kidd,placed on IL with strained right calf
17334,17334,2012-01-29,DAL,Dirk Nowitzki,,activated from IL
17335,17335,2012-01-29,NJN,,Mehmet Okur,placed on IL with sore lower back
17336,17336,2012-01-29,DEN,,Jordan Hamilton,placed on IL
17337,17337,2012-01-29,TOR,,Leandro Barbosa,placed on IL with sore left ankle
17338,17338,2012-01-29,TOR,Anthony Carter,,activated from IL
17339,17339,2012-01-29,LAC,Eric Bledsoe,,activated from IL
17340,17340,2012-01-29,NJN,Jordan Williams,,activated from IL
17341,17341,2012-01-30,PHI,,Spencer Hawes,placed on IL with strained left Achilles tendon
17342,17342,2012-01-30,PHI,Nikola Vučević,,activated from IL
17343,17343,2012-01-30,ORL,,Jason Richardson,placed on IL for rest / sore left knee
17344,17344,2012-01-30,ORL,DeAndre Liggins,,activated from IL
17345,17345,2012-01-30,HOU,,Hasheem Thabeet,placed on IL
17346,17346,2012-01-30,HOU,Kevin Martin,,activated from IL
17347,17347,2012-01-30,OKC,,Ryan Reid,placed on IL (date approximate)
17348,17348,2012-01-30,WAS,,Andray Blatche,placed on IL with strained left calf
17349,17349,2012-01-30,SAS,,Malcolm Thomas,placed on IL
17350,17350,2012-01-30,WAS,Hamady N'Diaye,,activated from IL
17351,17351,2012-01-31,CHA,,D.J. Augustin,placed on IL
17352,17352,2012-01-31,CHA,Reggie Williams,,activated from IL
17353,17353,2012-01-31,CLE,,Anthony Parker,placed on IL with strained lower back
17354,17354,2012-01-31,SAC,Tyler Honeycutt,,activated from IL
17355,17355,2012-01-31,NYK,Carmelo Anthony,,activated from IL
17356,17356,2012-01-31,NJN,,DeShawn Stevenson,placed on IL with sore right knee
17357,17357,2012-01-31,DEN,Ty Lawson,,activated from IL
17358,17358,2012-01-31,TOR,,Solomon Alabi,placed on IL
17359,17359,2012-01-31,TOR,Leandro Barbosa,,activated from IL
17360,17360,2012-02-01,POR,,Nicolas Batum,placed on IL with left knee injury
17361,17361,2012-02-01,POR,Armon Johnson,,activated from IL
17362,17362,2012-02-01,LAC,,Eric Bledsoe,placed on IL with sore right knee
17363,17363,2012-02-01,LAC,Travis Leslie,,activated from IL
17364,17364,2012-02-01,TOR,,Linas Kleiza,placed on IL with sore right knee
17365,17365,2012-02-01,TOR,Solomon Alabi,,activated from IL
17366,17366,2012-02-01,MIN,,Anthony Randolph,placed on IL
17367,17367,2012-02-01,MIN,J.J. Barea,,activated from IL
17368,17368,2012-02-02,DEN,,Julyan Stone,placed on IL
17369,17369,2012-02-02,DEN,DeMarre Carroll,,activated from IL
17370,17370,2012-02-02,DEN,Jordan Hamilton,,activated from IL
17371,17371,2012-02-03,CLE,,Tristan Thompson,placed on IL with sprained left ankle (date approximate)
17372,17372,2012-02-03,CLE,Luke Harangody,,activated from IL
17373,17373,2012-02-03,BOS,,Marquis Daniels,placed on IL with right ankle injury
17374,17374,2012-02-03,BOS,Rajon Rondo,,activated from IL
17375,17375,2012-02-03,ORL,,Glen Davis,placed on IL for suspension
17376,17376,2012-02-03,ORL,Jason Richardson,,activated from IL
17377,17377,2012-02-03,DEN,,DeMarre Carroll,placed on IL
17378,17378,2012-02-03,DEN,,Jordan Hamilton,placed on IL
17379,17379,2012-02-03,DEN,Julyan Stone,,activated from IL
17380,17380,2012-02-03,TOR,,Solomon Alabi,placed on IL
17381,17381,2012-02-03,TOR,Linas Kleiza,,activated from IL
17382,17382,2012-02-04,PHI,,Elton Brand,placed on IL with sprained right thumb
17383,17383,2012-02-04,PHI,Spencer Hawes,,activated from IL
17384,17384,2012-02-04,POR,,Armon Johnson,placed on IL
17385,17385,2012-02-04,POR,Nicolas Batum,,activated from IL
17386,17386,2012-02-04,CHI,,Richard Hamilton,placed on IL with right thigh injury
17387,17387,2012-02-04,CHI,Luol Deng,,activated from IL
17388,17388,2012-02-04,LAC,,Kenyon Martin,placed on IL
17389,17389,2012-02-04,DEN,,Timofey Mozgov,placed on IL with left leg/ankle injury
17390,17390,2012-02-04,DEN,Jordan Hamilton,,activated from IL
17391,17391,2012-02-04,TOR,,Amir Johnson,placed on IL
17392,17392,2012-02-04,MIN,,Darko Miličić,placed on IL with bruised left quadricep
17393,17393,2012-02-04,MIN,Anthony Randolph,,activated from IL
17394,17394,2012-02-06,POR,,Raymond Felton,placed on IL with sprained left foot
17395,17395,2012-02-06,POR,Armon Johnson,,activated from IL
17396,17396,2012-02-06,NOH,,Carl Landry,placed on IL with sprained MCL in left knee
17397,17397,2012-02-06,NOH,Chris Kaman,,activated from IL
17398,17398,2012-02-06,ORL,,DeAndre Liggins,placed on IL
17399,17399,2012-02-06,ORL,,Justin Harper,placed on IL
17400,17400,2012-02-06,ORL,Jameer Nelson,,activated from IL
17401,17401,2012-02-06,DEN,,Corey Brewer,placed on IL (Fox)
17402,17402,2012-02-06,OKC,,Thabo Sefolosha,placed on IL (F)
17403,17403,2012-02-06,ORL,Glen Davis,,activated from IL
17404,17404,2012-02-06,OKC,Ryan Reid,,activated from IL
17405,17405,2012-02-06,MIN,Malcolm Lee,,activated from IL
17406,17406,2012-02-07,GSW,Chris Wright,,activated from IL
17407,17407,2012-02-07,PHI,,Craig Brackins,placed on IL (date approximate)
17408,17408,2012-02-08,PHI,Elton Brand,,activated from IL
17409,17409,2012-02-08,POR,,Armon Johnson,placed on IL
17410,17410,2012-02-08,POR,Raymond Felton,,activated from IL
17411,17411,2012-02-08,CLE,,Tristan Thompson,placed on IL (P)
17412,17412,2012-02-08,CLE,Daniel Gibson,,activated from IL
17413,17413,2012-02-08,LAC,,Chauncey Billups,placed on IL with torn left Achilles tendon (out for season)
17414,17414,2012-02-08,LAC,Kenyon Martin,,activated from IL
17415,17415,2012-02-08,MIA,,Mario Chalmers,placed on IL with sprained left hand
17416,17416,2012-02-08,MIA,Terrel Harris,,activated from IL
17417,17417,2012-02-08,ORL,,Daniel Orton,placed on IL
17418,17418,2012-02-08,ORL,Justin Harper,,activated from IL
17419,17419,2012-02-08,HOU,,Greg Smith,placed on IL
17420,17420,2012-02-09,BOS,,Sasha Danilović,placed on IL with wrist injury
17421,17421,2012-02-09,BOS,Marquis Daniels,,activated from IL
17422,17422,2012-02-09,LAL,,Darius Morris,placed on IL
17423,17423,2012-02-09,LAL,Steve Blake,,activated from IL
17424,17424,2012-02-09,HOU,Hasheem Thabeet,,activated from IL
17425,17425,2012-02-10,CHA,,Gerald Henderson,placed on IL
17426,17426,2012-02-10,CHA,Corey Maggette,,activated from IL
17427,17427,2012-02-10,CLE,,Kyrie Irving,placed on IL with concussion
17428,17428,2012-02-10,CLE,Tristan Thompson,,activated from IL
17429,17429,2012-02-10,ATL,,Jason Collins,placed on IL
17430,17430,2012-02-10,MIA,,Terrel Harris,placed on IL
17431,17431,2012-02-10,MIA,Mario Chalmers,,activated from IL
17432,17432,2012-02-10,UTA,,DeMarre Carroll,placed on IL
17433,17433,2012-02-10,DAL,,Dominique Jones,placed on IL
17434,17434,2012-02-10,DAL,Jason Kidd,,activated from IL
17435,17435,2012-02-10,TOR,,Jerryd Bayless,placed on IL with sore/sprained left ankle
17436,17436,2012-02-10,TOR,Solomon Alabi,,activated from IL
17437,17437,2012-02-10,MIN,,Malcolm Lee,placed on IL
17438,17438,2012-02-11,CLE,,Anderson Varejão,placed on IL with fractured bone in right wrist
17439,17439,2012-02-11,LAC,Eric Bledsoe,,activated from IL
17440,17440,2012-02-11,NJN,,Keith Bogans,placed on IL recovering from surgery on left ankle to repair fracture and torn ligament
17441,17441,2012-02-11,DEN,,Danilo Gallinari,placed on IL (F)
17442,17442,2012-02-11,SAS,Manu Ginóbili,,activated from IL
17443,17443,2012-02-12,BOS,,Brandon Bass,placed on IL with right knee inflammation
17444,17444,2012-02-12,BOS,,Jermaine O'Neal,placed on IL
17445,17445,2012-02-12,BOS,Sasha Danilović,,activated from IL
17446,17446,2012-02-12,BOS,Keyon Dooling,,activated from IL
17447,17447,2012-02-12,MIA,,Mickell Gladness,placed on IL
17448,17448,2012-02-13,MIA,,Dexter Pittman,placed on IL with sprained left shoulder
17449,17449,2012-02-13,MIA,Mickell Gladness,,activated from IL
17450,17450,2012-02-13,PHO,,Hakim Warrick,placed on IL
17451,17451,2012-02-13,MIN,Darko Miličić,,activated from IL
17452,17452,2012-02-14,MEM,,Josh Selby,placed on IL
17453,17453,2012-02-14,DEN,,Danilo Gallinari,placed on IL (F)
17454,17454,2012-02-14,PHO,Hakim Warrick,,activated from IL
17455,17455,2012-02-14,NJN,Keith Bogans,,activated from IL
17456,17456,2012-02-15,POR,,LaMarcus Aldridge,placed on IL with sprained left ankle
17457,17457,2012-02-15,POR,Armon Johnson,,activated from IL
17458,17458,2012-02-15,CHA,,Eduardo Nájera,placed on IL
17459,17459,2012-02-15,CHA,D.J. Augustin,,activated from IL
17460,17460,2012-02-15,CLE,Kyrie Irving,,activated from IL
17461,17461,2012-02-15,BOS,,Marquis Daniels,placed on IL
17462,17462,2012-02-15,BOS,Jermaine O'Neal,,activated from IL
17463,17463,2012-02-15,SAC,,Tyler Honeycutt,placed on IL
17464,17464,2012-02-15,SAC,Hassan Whiteside,,activated from IL
17465,17465,2012-02-15,DAL,,Jason Terry,placed on IL with quadriceps injury
17466,17466,2012-02-15,DAL,Dominique Jones,,activated from IL
17467,17467,2012-02-15,NJN,,Shawne Williams,placed on IL with sprained left shoulder
17468,17468,2012-02-15,MIN,,Anthony Randolph,placed on IL
17469,17469,2012-02-16,CHI,,Richard Hamilton,placed on IL with right thigh injury
17470,17470,2012-02-17,CLE,,Daniel Gibson,placed on IL with sprained left ankle (F)
17471,17471,2012-02-17,LAL,,Devin Ebanks,placed on IL
17472,17472,2012-02-17,LAL,Darius Morris,,activated from IL
17473,17473,2012-02-17,ORL,Daniel Orton,,activated from IL
17474,17474,2012-02-17,DEN,,Dario Šarić,placed on IL with strained left calf
17475,17475,2012-02-17,DEN,Timofey Mozgov,,activated from IL (P)
17476,17476,2012-02-17,TOR,,Linas Kleiza,placed on IL with sore left knee
17477,17477,2012-02-17,TOR,Jerryd Bayless,,activated from IL
17478,17478,2012-02-17,MIN,Anthony Randolph,,activated from IL
17479,17479,2012-02-17,NYK,,J.R. Smith,placed on IL
17480,17480,2012-02-18,POR,,Armon Johnson,placed on IL
17481,17481,2012-02-18,POR,LaMarcus Aldridge,,activated from IL
17482,17482,2012-02-19,BOS,Marquis Daniels,,activated from IL
17483,17483,2012-02-19,MIA,,Mickell Gladness,placed on IL
17484,17484,2012-02-19,MIA,Dexter Pittman,,activated from IL
17485,17485,2012-02-19,NYK,Baron Davis,,activated from IL
17486,17486,2012-02-19,ORL,,Daniel Orton,placed on IL
17487,17487,2012-02-19,DAL,,Delonte West,placed on IL recovering from surgery on broken right ring finger to insert pins
17488,17488,2012-02-19,DAL,Jason Terry,,activated from IL
17489,17489,2012-02-19,NJN,Brook Lopez,,activated from IL
17490,17490,2012-02-19,HOU,,Jordan Hill,placed on IL with sprained MCL in right knee
17491,17491,2012-02-19,MIN,,Anthony Randolph,placed on IL
17492,17492,2012-02-19,HOU,Greg Smith,,activated from IL
17493,17493,2012-02-20,CHI,,C.J. Watson,placed on IL with concussion (F)
17494,17494,2012-02-20,UTA,,Raja Bell,placed on IL with strained right adductor
17495,17495,2012-02-20,UTA,DeMarre Carroll,,activated from IL
17496,17496,2012-02-20,NYK,,Henry Walker,placed on IL (F)
17497,17497,2012-02-20,NYK,,Iman Shumpert,placed on IL with knee injury
17498,17498,2012-02-20,ORL,,Jason Richardson,placed on IL with chest pain
17499,17499,2012-02-20,ORL,DeAndre Liggins,,activated from IL
17500,17500,2012-02-20,NJN,,Brook Lopez,placed on IL (F)
17501,17501,2012-02-20,HOU,,Hasheem Thabeet,placed on IL with back injury
17502,17502,2012-02-20,SAS,,Manu Ginóbili,placed on IL with strained left oblique muscle
17503,17503,2012-02-20,SAS,,Tiago Splitter,placed on IL with strained right calf
17504,17504,2012-02-20,MIN,,Darko Miličić,placed on IL with stomach injury
17505,17505,2012-02-20,MIN,Anthony Randolph,,activated from IL
17506,17506,2012-02-20,HOU,Marcus Morris,,activated from IL
17507,17507,2012-02-21,SAC,,John Salmons,placed on IL with hip injury
17508,17508,2012-02-21,SAC,Tyler Honeycutt,,activated from IL
17509,17509,2012-02-22,CHA,,Byron Mullens,placed on IL with illness
17510,17510,2012-02-22,CHA,Eduardo Nájera,,activated from IL
17511,17511,2012-02-22,CHI,,C.J. Watson,placed on IL (F)
17512,17512,2012-02-22,BOS,,Jermaine O'Neal,placed on IL with left wrist injury
17513,17513,2012-02-22,ATL,,Joe Johnson,placed on IL with sore left knee
17514,17514,2012-02-22,ATL,Jason Collins,,activated from IL
17515,17515,2012-02-22,ORL,,Justin Harper,placed on IL
17516,17516,2012-02-22,ORL,Daniel Orton,,activated from IL
17517,17517,2012-02-22,NJN,,Kris Humphries,placed on IL with strained left calf (F)
17518,17518,2012-02-22,HOU,,Terrence Williams,placed on IL (F)
17519,17519,2012-02-22,MIN,,Anthony Randolph,placed on IL
17520,17520,2012-02-22,MIN,Darko Miličić,,activated from IL
17521,17521,2012-02-23,ORL,,Jameer Nelson,placed on IL with right knee injury
17522,17522,2012-02-23,ORL,Jason Richardson,,activated from IL
17523,17523,2012-02-28,CHI,C.J. Watson,,activated from IL
17524,17524,2012-02-28,CHI,Richard Hamilton,,activated from IL
17525,17525,2012-02-28,CLE,,Christian Eyenga,placed on IL with toe injury
17526,17526,2012-02-28,CLE,Anthony Parker,,activated from IL
17527,17527,2012-02-28,BOS,,E'Twaun Moore,placed on IL
17528,17528,2012-02-28,BOS,Brandon Bass,,activated from IL
17529,17529,2012-02-28,LAC,,Travis Leslie,placed on IL (F)
17530,17530,2012-02-28,SAC,,Tyler Honeycutt,placed on IL
17531,17531,2012-02-28,SAC,John Salmons,,activated from IL
17532,17532,2012-02-28,NJN,,Mehmet Okur,placed on IL (F)
17533,17533,2012-02-28,NJN,Kris Humphries,,activated from IL
17534,17534,2012-02-28,TOR,,Solomon Alabi,placed on IL with upper respiratory infection
17535,17535,2012-02-28,TOR,Linas Kleiza,,activated from IL
17536,17536,2012-02-28,GSW,,Jeremy Tyler,placed on IL (F) (date approximate)
17537,17537,2012-02-29,POR,,Joel Przybilla,placed on IL
17538,17538,2012-02-29,CHA,,Cory Higgins,placed on IL
17539,17539,2012-02-29,CHA,,Eduardo Nájera,placed on IL
17540,17540,2012-02-29,CHA,Byron Mullens,,activated from IL
17541,17541,2012-02-29,CHA,Gerald Henderson,,activated from IL
17542,17542,2012-02-29,ATL,Joe Johnson,,activated from IL
17543,17543,2012-02-29,NYK,,Henry Walker,placed on IL with left elbow injury
17544,17544,2012-02-29,NYK,,Jerome Jordan,placed on IL
17545,17545,2012-02-29,NYK,Iman Shumpert,,activated from IL
17546,17546,2012-02-29,NYK,Josh Harrellson,,activated from IL
17547,17547,2012-02-29,LAL,,Darius Morris,placed on IL
17548,17548,2012-02-29,ORL,,Quentin Richardson,placed on IL with Achilles tendon injury
17549,17549,2012-02-29,ORL,Jameer Nelson,,activated from IL
17550,17550,2012-02-29,SAS,,Kawhi Leonard,placed on IL with strained right calf
17551,17551,2012-02-29,SAS,T.J. Ford,,activated from IL
17552,17552,2012-02-29,SAS,Tiago Splitter,,activated from IL
17553,17553,2012-02-29,MIN,,Kevin Love,placed on IL with rib injury / flu (CBC)
17554,17554,2012-02-29,MIN,Anthony Randolph,,activated from IL
17555,17555,2012-02-29,LAL,Devin Ebanks,,activated from IL
17556,17556,2012-03-01,POR,,Kurt Thomas,placed on IL with concussion
17557,17557,2012-03-01,POR,Joel Przybilla,,activated from IL
17558,17558,2012-03-01,LAC,,Travis Leslie,placed on IL (P)
17559,17559,2012-03-01,MIA,,Mickell Gladness,placed on IL
17560,17560,2012-03-01,MIA,Terrel Harris,,activated from IL
17561,17561,2012-03-01,MIN,,J.J. Barea,placed on IL with calf injury
17562,17562,2012-03-01,MIN,Kevin Love,,activated from IL
17563,17563,2012-03-02,PHI,,Spencer Hawes,placed on IL with strained left Achilles tendon
17564,17564,2012-03-02,CHA,,Bismack Biyombo,placed on IL with strained left shoulder
17565,17565,2012-03-02,CHA,Eduardo Nájera,,activated from IL
17566,17566,2012-03-02,BOS,,Ray Allen,placed on IL with illness/flu
17567,17567,2012-03-02,BOS,E'Twaun Moore,,activated from IL
17568,17568,2012-03-02,ATL,,Joe Johnson,placed on IL with left knee tendinitis (F)
17569,17569,2012-03-02,SAC,,J.J. Hickson,placed on IL with bruised hip / back injury (CBC)
17570,17570,2012-03-02,SAC,Tyler Honeycutt,,activated from IL
17571,17571,2012-03-02,DEN,,Rudy Fernández,placed on IL with strained lower back (F)
17572,17572,2012-03-02,SAS,Kawhi Leonard,,activated from IL
17573,17573,2012-03-02,OKC,,Lazar Hayward,placed on IL
17574,17574,2012-03-02,PHI,Craig Brackins,,activated from IL
17575,17575,2012-03-03,MIN,,Anthony Randolph,placed on IL
17576,17576,2012-03-03,MIN,,Malcolm Lee,placed on IL
17577,17577,2012-03-03,MIN,J.J. Barea,,activated from IL
17578,17578,2012-03-03,WAS,Andray Blatche,,activated from IL (CBC P)
17579,17579,2012-03-04,CHA,,Reggie Williams,placed on IL with left knee injury
17580,17580,2012-03-04,CHA,Cory Higgins,,activated from IL
17581,17581,2012-03-04,BOS,,E'Twaun Moore,placed on IL
17582,17582,2012-03-04,BOS,Ray Allen,,activated from IL
17583,17583,2012-03-04,DEN,,Kosta Koufos,placed on IL with knee injury
17584,17584,2012-03-04,SAS,,Cory Joseph,placed on IL
17585,17585,2012-03-04,SAS,Manu Ginóbili,,activated from IL
17586,17586,2012-03-05,POR,,Chris Johnson,placed on IL
17587,17587,2012-03-05,POR,Kurt Thomas,,activated from IL
17588,17588,2012-03-05,UTA,,DeMarre Carroll,placed on IL
17589,17589,2012-03-05,UTA,Raja Bell,,activated from IL
17590,17590,2012-03-05,ORL,,DeAndre Liggins,placed on IL
17591,17591,2012-03-05,ORL,Quentin Richardson,,activated from IL
17592,17592,2012-03-05,DAL,,Brandan Wright,placed on IL with concussion
17593,17593,2012-03-05,DAL,Sean Williams,,activated from IL
17594,17594,2012-03-05,DEN,Dario Šarić,,activated from IL
17595,17595,2012-03-05,TOR,,Anthony Carter,placed on IL
