,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Draft Pick,Rating,Team
114,Clay Johnson,1982,1984,G,6-4,175,"July 18, 1956",Missouri,110,0,n
115,Clemon Johnson,1979,1988,C-F,6-10,240,"September 12, 1956",Florida A&M,44,0,n
116,Dakari Johnson,2018,2018,C,7-0,255,"September 22, 1995",Kentucky,48,0,n
117,Darryl Johnson,1996,1996,G,6-1,170,"October 26, 1965",Michigan State,58,0,n
118,Dave Johnson,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse,26,0,n
119,David Johnson,2022,2022,G,6-5,210,"February 26, 2001",Louisville,47,0,n
120,DeMarco Johnson,2000,2000,F,6-9,245,"October 6, 1975",UNC Charlotte,38,0,n
121,Dennis Johnson,1977,1990,G,6-4,185,"September 18, 1954","Harbor College, Pepperdine",29,0,n
122,DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",Cincinnati,6,0,n
124,Eddie Johnson,1978,1987,G,6-2,180,"February 24, 1955",Auburn,49,0,n
125,Eddie Johnson,1982,1999,F-G,6-7,215,"May 1, 1959",Illinois,29,0,n
126,Eric Johnson,1990,1990,G,6-2,205,"February 7, 1966","Baylor, Nebraska",0,0,n
127,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",New Orleans,23,0,n
128,Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest,11,0,n
130,George Johnson,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University,79,0,n
131,George Johnson,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's,12,0,n
134,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","Oregon, Cal State San Bernardino",0,0,n
135,JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue,27,0,n
136,Jalen Johnson,2022,2025,F,6-9,220,"December 18, 2001",Duke,20,0,n
137,James Johnson,2010,2025,F,6-7,240,"February 20, 1987",Wake Forest,16,0,n
138,Joe Johnson,2002,2022,G-F,6-7,240,"June 29, 1981",Arkansas,10,0,n
140,Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky,41,0,n
141,Keldon Johnson,2020,2025,G,6-5,220,"October 11, 1999",Kentucky,29,0,n
142,Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","USC, Michigan State",28,0,n
143,Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State,49,0,n
144,Keon Johnson,2022,2025,G,6-5,186,"March 10, 2002",Tennessee,21,0,n
145,Keshad Johnson,2025,2025,F,6-6,225,"June 23, 2001","San Diego State, Arizona",0,0,n
146,Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",California,7,0,n
147,Keyontae Johnson,2024,2024,F,6-5,230,"May 24, 2000","Florida, Kansas State",50,0,n
149,Larry Johnson,1992,2001,F,6-7,250,"March 14, 1969","Odessa College, UNLV",1,0,n
151,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane,0,0,n
152,Magic Johnson,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State,1,0,n
153,Marques Johnson,1978,1990,F-G,6-7,218,"February 8, 1956",UCLA,3,0,n
154,Mickey Johnson,1975,1986,F,6-10,190,"August 31, 1952",Aurora University,56,0,n
156,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",Arizona,42,0,n
158,Omari Johnson,2018,2018,F,6-9,220,"November 26, 1989",Oregon State,0,0,n
159,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","Loyola Marymount, UC Santa Barbara",36,0,n
161,Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",Tennessee,15,0,n
164,Stanley Johnson,2016,2023,F,6-6,242,"May 29, 1996",Arizona,8,0,n
165,Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","LSU, San Diego State",100,0,n
166,Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State,7,0,n
168,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984","Alcorn State, Jackson State University",0,0,n
169,Tyler Johnson,2015,2022,G,6-3,186,"May 7, 1992",Fresno State,0,0,n
170,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor,7,0,n
171,Wesley Johnson,2011,2019,F-G,6-7,215,"July 11, 1987","Iowa State, Syracuse",4,0,n
172,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette,55,0,n
173,Nate Johnston,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa,59,0,n
175,Jim Johnstone,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest,51,0,n
176,Nikola Jokić,2016,2025,C-F,6-11,284,"February 19, 1995",,41,0,n
178,Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Tech,57,0,n
179,Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown, UNLV",21,0,n
180,Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State,0,0,n
181,Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",Iowa,0,0,n
182,Bobby Jones,1975,1986,F,6-9,210,"December 18, 1951",UNC,5,0,n
183,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",Washington,37,0,n
184,Caldwell Jones,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University,32,0,n
185,Carlik Jones,2022,2023,G,6-1,185,"December 23, 1997","Radford, Louisville",0,0,n
186,Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University,165,0,n
187,Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",Louisville,36,0,n
188,Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University",0,0,n
189,Colby Jones,2024,2025,G,6-6,205,"May 28, 2002",Xavier,34,0,n
191,Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke",20,0,n
192,Damian Jones,2017,2024,F-C,6-11,245,"June 30, 1995",Vanderbilt,30,0,n
193,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",Houston,0,0,n
194,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",Miami (FL),0,0,n
195,Derrick Jones Jr.,2017,2025,F,6-5,210,"February 15, 1997",UNLV,0,0,n
196,Dillon Jones,2025,2025,F,6-5,240,"October 29, 2001",Weber State,26,0,n
197,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",South Florida,25,0,n
198,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State",21,0,n
199,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's,0,0,n
200,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",Houston,9,0,n
201,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia,23,0,n
202,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple,10,0,n
203,Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956",Nevada,31,0,n
204,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",Oregon,14,0,n
205,Herbert Jones,2022,2025,F,6-8,210,"October 6, 1998",Alabama,35,0,n
206,Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","Buffalo State, Vanderbilt",54,0,n
207,Isaac Jones,2025,2025,F,6-8,245,"July 11, 2000","Wenatchee Valley College, Idaho, Washington State",0,0,n
209,Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993","SMU, Texas A&M",0,0,n
210,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",Miami (FL),49,0,n
211,Jemerrio Jones,2019,2022,F,6-5,174,"April 9, 1995","Hill College, New Mexico State",0,0,n
214,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",Georgia,27,0,n
216,Kai Jones,2022,2025,F-C,6-11,218,"January 19, 2001",Texas,19,0,n
217,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia,0,0,n
219,Major Jones,1980,1985,F,6-9,225,"July 9, 1953",Albany State University,20,0,n
220,Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure,82,0,n
221,Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","Minnesota, Central Florida",0,0,n
222,Mason Jones,2021,2025,G,6-4,200,"July 21, 1998","Connors State College, Arkansas",0,0,n
224,Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State, Cal State Fullerton",90,0,n
225,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor,28,0,n
226,Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State,41,0,n
230,Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's,27,0,n
231,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",South Florida,33,0,n
232,Spencer Jones,2025,2025,F,6-7,225,"June 14, 2001",Stanford,0,0,n
234,Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",Kentucky,18,0,n
235,Tre Jones,2021,2025,G,6-1,185,"January 8, 2000",Duke,41,0,n
236,Tyus Jones,2016,2025,G,6-1,196,"May 10, 1996",Duke,24,0,n
241,Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",Kansas,42,0,n
243,DeAndre Jordan,2009,2025,C,6-11,265,"July 21, 1988",Texas A&M,35,0,n
244,Eddie Jordan,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University,33,0,n
245,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",Tulsa,44,0,n
246,Michael Jordan,1985,2003,G-F,6-6,198,"February 17, 1963",UNC,3,0,n
247,Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State,0,0,n
248,Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State,0,0,n
254,Cory Joseph,2012,2025,G,6-2,200,"August 20, 1991",Texas,29,0,n
255,Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose,0,0,n
256,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse,51,0,n
257,Yvon Joseph,1986,1986,C,6-11,245,"October 31, 1957",Georgia Tech,36,0,n
258,Nikola Jović,2023,2025,G-F,6-10,209,"June 9, 2003",,27,0,n
261,Jeff Judkins,1979,1983,G-F,6-6,185,"March 23, 1956",Utah,30,0,n
262,Johnny Juzang,2023,2025,G,6-7,215,"March 17, 2001","Kentucky, UCLA",0,0,n
0,Mfiondu Kabengele,2020,2023,F,6-9,250,"August 14, 1997",Florida State,27,0,n
4,Georgios Kalaitzakis,2022,2022,G-F,6-8,192,"January 2, 1999",,60,0,n
5,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University,6,0,n
6,Frank Kaminsky,2016,2023,F-C,7-0,240,"April 4, 1993",Wisconsin,9,0,n
8,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981",UCLA,31,0,n
10,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",,19,0,n
11,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State,0,0,n
14,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",,41,0,n
17,Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",Kansas,56,0,n
19,Yuki Kawamura,2025,2025,G,5-8,159,"May 2, 2001",,0,0,n
23,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford,10,0,n
24,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara,63,0,n
25,Trevor Keels,2023,2023,G,6-5,221,"August 26, 2003",Duke,42,0,n
29,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford,7,0,n
30,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State,8,0,n
33,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke,48,0,n
35,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State,4,0,n
37,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969","Trinity Valley CC, Kentucky",17,0,n
38,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",Notre Dame,124,0,n
40,Luke Kennard,2018,2025,G,6-5,206,"June 24, 1996",Duke,12,0,n
41,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's,0,0,n
45,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952","Amarillo College, Memphis",50,0,n
47,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State, East Carolina University",0,0,n
49,Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",Arizona,50,0,n
51,Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University,46,0,n
53,Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",Georgia,12,0,n
54,Walker Kessler,2023,2025,C,7-0,245,"July 26, 2001","UNC, Auburn",22,0,n
55,Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",UMass,49,0,n
56,Braxton Key,2022,2024,F,6-8,230,"February 14, 1997","Alabama, Virginia",0,0,n
58,Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",Southern Miss,22,0,n
59,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",,22,0,n
60,Jason Kidd,1995,2013,G,6-4,205,"March 23, 1973",California,2,0,n
61,Stanton Kidd,2020,2020,F,6-6,215,"March 18, 1992","South Plains College, NC Central, Colorado State",0,0,n
62,Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee,0,0,n
63,Michael Kidd-Gilchrist,2013,2020,F,6-6,232,"September 26, 1993",Kentucky,2,0,n
68,Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",Cincinnati,0,0,n
70,Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","USC, Loyola Marymount",8,0,n
71,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","Central Florida, Xavier",0,0,n
73,Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",Maryland,10,0,n
74,Bernard King,1978,1993,F,6-7,205,"December 4, 1956",Tennessee,7,0,n
75,Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest,45,0,n
77,Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University,37,0,n
79,George King,2019,2022,G-F,6-6,225,"January 15, 1994",Colorado,59,0,n
80,Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State,0,0,n
82,Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",Michigan,35,0,n
83,Louis King,2020,2023,F,6-7,205,"April 6, 1999",Oregon,0,0,n
86,Reggie King,1980,1985,F,6-6,225,"February 14, 1957",Alabama,18,0,n
87,Rich King,1992,1995,C,7-2,260,"April 4, 1969",Nebraska,14,0,n
89,Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",Oklahoma,6,0,n
92,Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",South Carolina,0,0,n
93,Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",,24,0,n
94,Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico,0,0,n
97,Corey Kispert,2022,2025,G-F,6-7,220,"March 3, 1999",Gonzaga,15,0,n
100,Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",South Florida,122,0,n
101,Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",BYU,21,0,n
102,Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova,8,0,n
103,Maxi Kleber,2018,2025,F,6-10,240,"January 29, 1992",,0,0,n
104,Joe Kleine,1986,2000,C,6-11,255,"January 4, 1962","Notre Dame, Arkansas",6,0,n
105,Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",Missouri,27,0,n
110,Dalton Knecht,2025,2025,G,6-6,215,"April 19, 2001","Northeastern Junior College, University of Northern Colorado, Tennessee",17,0,n
111,Billy Knight,1975,1985,G-F,6-6,195,"June 9, 1952",Pitt,21,0,n
113,Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",Pitt,0,0,n
114,Brandon Knight,2012,2022,G,6-2,182,"December 2, 1991",Kentucky,8,0,n
115,Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford,16,0,n
116,Nathan Knight,2021,2023,F-C,6-8,253,"September 20, 1997",William & Mary,0,0,n
117,Negele Knight,1991,1999,G,6-1,175,"March 6, 1967",Dayton,31,0,n
120,Travis Knight,1997,2003,C,7-0,235,"September 13, 1974",UConn,29,0,n
124,Kevin Knox,2019,2024,F,6-7,215,"August 11, 1999",Kentucky,9,0,n
125,Bart Kofoed,1988,1993,G,6-4,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney",107,0,n
127,Tyler Kolek,2025,2025,G,6-1,195,"March 27, 2001","George Mason, Marquette",34,0,n
128,Christian Koloko,2023,2025,C,7-1,230,"June 20, 2000",Arizona,33,0,n
131,Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",SMU,5,0,n
132,John Konchar,2020,2025,G,6-5,210,"March 22, 1996",Purdue-Fort Wayne,0,0,n
135,Joe Kopicki,1983,1985,F,6-9,240,"June 12, 1960",Detroit Mercy,56,0,n
136,Furkan Korkmaz,2018,2024,G,6-7,202,"July 24, 1997",,26,0,n
137,Frank Kornet,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt,30,0,n
138,Luke Kornet,2018,2025,C-F,7-2,250,"July 15, 1995",Vanderbilt,0,0,n
139,Yaroslav Korolev,2006,2007,F,6-9,203,"May 7, 1987",,12,0,n
140,Kyle Korver,2004,2020,G-F,6-7,212,"March 17, 1981",Creighton,51,0,n
145,Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State,23,0,n
150,Joel Kramer,1979,1983,F-C,6-7,203,"November 30, 1955",San Diego State,63,0,n
154,Viacheslav Kravtsov,2013,2014,C,7-0,260,"August 25, 1987",,0,0,n
156,Vit Krejci,2022,2025,G,6-8,195,"June 19, 2000",,37,0,n
160,Nenad Krstić,2005,2011,C,7-0,240,"July 25, 1983",,24,0,n
161,Larry Krystkowiak,1987,1997,F-C,6-9,220,"September 23, 1964",Montana,28,0,n
164,Bruce Kuczenski,1984,1984,F,6-10,230,"February 3, 1961",UConn,59,0,n
168,Toni Kukoč,1994,2006,F,6-10,192,"September 18, 1968",,29,0,n
169,Arnoldas Kulboka,2022,2022,F,6-9,198,"January 4, 1998",,55,0,n
170,Jonathan Kuminga,2022,2025,F,6-8,210,"October 6, 2002",,7,0,n
173,Mitch Kupchak,1977,1986,F-C,6-9,230,"May 24, 1954",UNC,13,0,n
175,Rodions Kurucs,2019,2021,F,6-9,228,"February 5, 1998",,40,0,n
176,Rob Kurz,2009,2009,F,6-9,232,"March 5, 1985",Notre Dame,0,0,n
177,Ibo Kutluay,2005,2005,G,6-6,200,"July 1, 1974",,0,0,n
178,Kyle Kuzma,2018,2025,F,6-9,221,"July 24, 1995",Utah,27,0,n
179,Ognjen Kuzmić,2014,2015,C,7-1,251,"May 16, 1990",,52,0,n
180,Mindaugas Kuzminskas,2017,2018,F,6-9,215,"October 19, 1989",,0,0,n
1,Raef LaFrentz,1999,2008,F-C,6-11,240,"May 29, 1976",Kansas,3,0,n
2,Tom LaGarde,1978,1985,C-F,6-10,220,"February 10, 1955",UNC,9,0,n
3,Jake LaRavia,2023,2025,F,6-8,235,"November 3, 2001","Indiana State University, Wake Forest",19,0,n
4,Rusty LaRue,1998,2004,G,6-2,210,"December 10, 1973",Wake Forest,0,0,n
6,Zach LaVine,2015,2025,G-F,6-5,200,"March 10, 1995",UCLA,13,0,n
7,Skal Labissière,2017,2020,F,6-10,235,"March 18, 1996",Kentucky,28,0,n
10,Sam Lacey,1971,1983,C,6-10,235,"March 28, 1948",New Mexico State,5,0,n
13,Christian Laettner,1993,2005,F-C,6-11,235,"August 17, 1969",Duke,3,0,n
14,Oliver Lafayette,2010,2010,G,6-2,190,"May 6, 1984",Houston,0,0,n
15,Bill Laimbeer,1981,1994,C,6-11,245,"May 19, 1957",Notre Dame,65,0,n
18,Anthony Lamb,2021,2023,F,6-6,227,"January 20, 1998",University of Vermont,0,0,n
19,Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",Kentucky,42,0,n
20,Jeremy Lamb,2013,2022,G-F,6-5,180,"May 30, 1992",UConn,12,0,n
22,Jeff Lamp,1982,1989,F-G,6-6,195,"March 9, 1959",Virginia,15,0,n
23,Maciej Lampe,2004,2006,C,6-11,275,"February 5, 1985",,30,0,n
24,Jim Lampley,1987,1987,C,6-10,230,"July 2, 1960","Vanderbilt, Little Rock",102,0,n
25,Sean Lampley,2003,2004,F,6-7,227,"September 3, 1979",California,45,0,n
26,Jock Landale,2022,2025,C,6-11,256,"October 25, 1995",Saint Mary's,0,0,n
27,Carl Landry,2008,2016,F,6-9,248,"September 19, 1983","Vincennes University, Purdue",31,0,n
28,Marcus Landry,2010,2010,F,6-7,230,"November 1, 1985",Wisconsin,0,0,n
29,Mark Landsberger,1978,1984,F-C,6-8,215,"May 21, 1955","Minnesota, Arizona State",35,0,n
30,Jerome Lane,1989,1993,F,6-6,230,"December 4, 1966",Pitt,23,0,n
31,Andrew Lang,1989,2000,C,6-11,245,"June 28, 1966",Arkansas,28,0,n
32,Antonio Lang,1995,2000,F-G,6-8,205,"May 15, 1972",Duke,29,0,n
33,James Lang,2007,2007,C,6-10,285,"October 17, 1983",,48,0,n
34,Trajan Langdon,2000,2002,G,6-3,197,"May 13, 1976",Duke,11,0,n
35,Keith Langford,2008,2008,G,6-4,215,"September 15, 1983",Kansas,0,0,n
36,Romeo Langford,2020,2023,G,6-5,216,"October 25, 1999",Indiana,14,0,n
37,Dan Langhi,2001,2004,F,6-11,220,"November 28, 1977",Vanderbilt,31,0,n
38,Bob Lanier,1971,1984,C,6-11,250,"September 10, 1948",St. Bonaventure,1,0,n
40,Nicolás Laprovíttola,2017,2017,G,6-4,180,"January 31, 1990",,0,0,n
42,Shane Larkin,2014,2018,G,5-11,175,"October 2, 1992",Miami (FL),18,0,n
43,Pelle Larsson,2025,2025,G,6-5,215,"February 23, 2001","Utah, Arizona",44,0,n
45,Stéphane Lasme,2008,2008,F,6-8,215,"December 17, 1982",UMass,46,0,n
47,Priest Lauderdale,1997,1998,C,7-4,325,"August 31, 1973",Central State University,28,0,n
51,Joffrey Lauvergne,2015,2018,C-F,6-11,220,"September 30, 1991",,55,0,n
54,Acie Law,2008,2011,G,6-3,195,"January 25, 1985",Texas A&M,11,0,n
55,Vic Law,2020,2020,F,6-7,200,"December 19, 1995",Northwestern,0,0,n
56,Gani Lawal,2011,2011,F,6-9,234,"November 7, 1988",Georgia Tech,46,0,n
58,A.J. Lawson,2023,2024,G,6-6,179,"July 15, 2000",South Carolina,0,0,n
59,Jason Lawson,1998,1998,C,6-11,240,"September 2, 1974",Villanova,42,0,n
60,Ty Lawson,2010,2017,G,5-11,195,"November 3, 1987",UNC,18,0,n
61,Jake Layman,2017,2022,F,6-8,209,"March 7, 1994",Maryland,47,0,n
63,Caris LeVert,2017,2025,G-F,6-6,205,"August 25, 1994",Michigan,20,0,n
64,T.J. Leaf,2018,2021,F,6-10,222,"April 30, 1997",UCLA,18,0,n
67,Allen Leavell,1980,1989,G,6-1,170,"May 27, 1957",Oklahoma City University,104,0,n
68,Jeff Lebo,1990,1990,G,6-2,180,"October 5, 1966",UNC,0,0,n
69,Eric Leckner,1989,1997,C-F,6-11,265,"May 27, 1966",Wyoming,17,0,n
70,Jalen Lecque,2020,2021,G,6-4,185,"June 13, 2000",,0,0,n
71,Ricky Ledo,2014,2015,G,6-7,195,"September 10, 1992",,43,0,n
74,Courtney Lee,2009,2020,G,6-5,215,"October 3, 1985",Western Kentucky,22,0,n
75,Damion Lee,2018,2025,G,6-5,210,"October 21, 1992","Drexel, Louisville",0,0,n
77,David Lee,2006,2017,F-C,6-9,245,"April 29, 1983",Florida,30,0,n
79,Doug Lee,1992,1995,G-F,6-5,200,"October 24, 1964","Texas A&M, Purdue",35,0,n
82,Keith Lee,1986,1989,F-C,6-10,215,"December 28, 1962",Memphis,11,0,n
83,Kurk Lee,1991,1991,G,6-3,190,"June 3, 1967","Western Kentucky, Towson University",0,0,n
84,Malcolm Lee,2012,2015,G,6-5,200,"May 22, 1990",UCLA,43,0,n
88,Saben Lee,2021,2024,G,6-2,183,"June 23, 1999",Vanderbilt,38,0,n
91,Tim Legler,1990,2000,G,6-4,200,"December 26, 1966",La Salle,0,0,n
94,Walt Lemon Jr.,2018,2019,G,6-3,180,"July 26, 1992",Bradley,0,0,n
95,Alex Len,2014,2025,C,7-0,250,"June 16, 1993",Maryland,5,0,n
96,Voshon Lenard,1996,2006,G,6-4,205,"May 14, 1973",Minnesota,46,0,n
98,Gary Leonard,1990,1992,C,7-1,250,"February 16, 1967",Missouri,34,0,n
99,Kawhi Leonard,2012,2024,F,6-7,225,"June 29, 1991",San Diego State,15,0,n
100,Meyers Leonard,2013,2023,C-F,7-0,260,"February 27, 1992",Illinois,11,0,n
102,Malevy Leons,2025,2025,F,6-9,205,"September 23, 1999","Mineral Area College, Bradley",0,0,n
103,Jim Les,1989,1995,G,5-11,165,"August 18, 1963","Cleveland State University, Bradley",70,0,n
104,Travis Leslie,2012,2012,G,6-4,205,"March 29, 1990",Georgia,47,0,n
105,Ronnie Lester,1981,1986,G,6-2,175,"January 1, 1959",Iowa,10,0,n
106,Clifford Lett,1990,1991,G,6-3,170,"December 23, 1965",Florida,0,0,n
107,Jon Leuer,2012,2019,F,6-10,228,"May 14, 1989",Wisconsin,40,0,n
109,Fat Lever,1983,1994,G,6-3,170,"August 18, 1960",Arizona State,11,0,n
110,Cliff Levingston,1983,1995,F,6-8,210,"January 4, 1961",Wichita State,9,0,n
112,Cedric Lewis,1996,1996,F-C,6-10,235,"September 24, 1969",Maryland,0,0,n
116,Kira Lewis Jr.,2021,2024,G,6-1,170,"April 6, 2001",Alabama,13,0,n
117,Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975","Butler County Community College, Seward County Community College",50,0,n
118,Maxwell Lewis,2024,2025,F,6-7,195,"July 27, 2002",Pepperdine,40,0,n
120,Quincy Lewis,2000,2004,F,6-7,215,"June 26, 1977",Minnesota,19,0,n
121,Ralph Lewis,1988,1990,F-G,6-6,200,"March 28, 1963",La Salle,139,0,n
122,Rashard Lewis,1999,2014,F,6-10,215,"August 8, 1979",,32,0,n
123,Reggie Lewis,1988,1993,G-F,6-7,195,"November 21, 1965",Northeastern University,22,0,n
124,Scottie Lewis,2022,2022,G,6-5,189,"March 12, 2000",Florida,56,0,n
125,Marcus Liberty,1991,1994,F,6-8,205,"October 27, 1968",Illinois,42,0,n
126,Todd Lichti,1990,1994,G-F,6-4,205,"January 8, 1967",Stanford,15,0,n
127,E.J. Liddell,2024,2025,F,6-7,240,"December 18, 2000",Ohio State,41,0,n
128,DeAndre Liggins,2012,2018,G,6-6,209,"March 31, 1988",Kentucky,53,0,n
131,Damian Lillard,2013,2025,G,6-2,195,"July 15, 1990",Weber State,6,0,n
132,Jeremy Lin,2011,2019,G,6-3,200,"August 23, 1988",Harvard University,0,0,n
133,Steve Lingenfelter,1983,1984,F,6-9,225,"June 10, 1958","Minnesota, South Dakota State",44,0,n
134,Alton Lister,1982,1998,C-F,7-0,240,"October 1, 1958",Arizona State,21,0,n
135,Nassir Little,2020,2024,F,6-5,220,"February 11, 2000",UNC,25,0,n
138,Dereck Lively II,2024,2025,C,7-1,230,"February 12, 2004",Duke,12,0,n
139,Isaiah Livers,2022,2024,F,6-7,230,"July 28, 1998",Michigan,42,0,n
140,Chris Livingston,2024,2025,F,6-6,220,"October 15, 2003",Kentucky,58,0,n
